x,y,z
1.01257,1.25988,0.99144
1.04882,1.52386,0.985992
1.10718,1.798,0.984174
1.1868,2.08797,0.986726
1.28743,2.39922,0.99464
1.40934,2.73712,1.0092
1.55332,3.10708,1.03203
1.72057,3.51466,1.06521
1.91275,3.96562,1.11134
2.1319,4.46604,1.17368
2.38046,5.0223,1.25634
2.66128,5.64113,1.36444
2.97757,6.32956,1.50439
3.33293,7.09483,1.68415
3.73132,7.94427,1.91361
4.17699,8.88498,2.20495
4.67445,9.9235,2.57316
5.22836,11.0651,3.03643
5.84333,12.3132,3.61674
6.52371,13.6678,4.3402
7.27325,15.1243,5.23736
8.09456,16.6714,6.34308
8.98853,18.2883,7.69594
9.95341,19.9424,9.33664
10.9838,21.5859,11.3052
12.0695,23.153,13.6365
13.1939,24.5583,16.3536
14.333,25.6974,19.4593
15.4545,26.4512,22.9265
16.5173,26.6956,26.6884
17.4728,26.3161,30.6322
18.2676,25.2285,34.5995
18.8474,23.4,38.3966
19.1633,20.866,41.8152
19.178,17.7367,44.6627
18.8717,14.1876,46.7939
18.2451,10.4355,48.1346
17.3204,6.70434,48.692
16.1379,3.19259,48.5465
14.7506,0.0486366,47.8306
13.2177,-2.63936,46.7013
11.5984,-4.84063,45.3145
9.94675,-6.56994,43.8069
8.30882,-7.87222,42.2858
6.72108,-8.80795,40.8277
5.2105,-9.44175,39.4806
3.79545,-9.83486,38.2698
2.48708,-10.0411,37.2038
1.29079,-10.1053,36.2798
0.207621,-10.0633,35.4876
-0.764507,-9.94325,34.8135
-1.62981,-9.76646,34.2418
-2.39387,-9.54911,33.757
-3.06307,-9.30334,33.3439
-3.64422,-9.03831,32.9888
-4.14419,-8.76101,32.6792
-4.56983,-8.47686,32.4044
-4.92777,-8.19022,32.155
-5.2244,-7.90465,31.923
-5.4658,-7.62315,31.702
-5.65774,-7.3483,31.4867
-5.80567,-7.08234,31.2728
-5.91473,-6.82724,31.0572
-5.98973,-6.58467,30.8375
-6.03517,-6.35606,30.6121
-6.05526,-6.14261,30.38
-6.05389,-5.94526,30.1407
-6.03468,-5.76472,29.8942
-6.00096,-5.60147,29.6409
-5.95576,-5.45582,29.3811
-5.90185,-5.32785,29.1158
-5.84175,-5.21751,28.8457
-5.77771,-5.12461,28.5719
-5.71176,-5.04882,28.2953
-5.64569,-4.98975,28.0172
-5.58107,-4.94692,27.7384
-5.51929,-4.91983,27.4602
-5.46155,-4.90794,27.1834
-5.40888,-4.91069,26.9092
-5.36218,-4.92754,26.6386
-5.32218,-4.95796,26.3725
-5.28953,-5.00146,26.1118
-5.26473,-5.05754,25.8574
-5.24822,-5.12577,25.6103
-5.24034,-5.20573,25.3713
-5.24137,-5.29703,25.1413
-5.25153,-5.39934,24.9212
-5.27098,-5.51231,24.7119
-5.29983,-5.63562,24.5141
-5.33816,-5.76898,24.329
-5.386,-5.91207,24.1572
-5.44337,-6.06457,23.9998
-5.51023,-6.22615,23.8578
-5.58653,-6.39641,23.732
-5.67217,-6.57493,23.6235
-5.76703,-6.76122,23.5333
-5.87095,-6.9547,23.4623
-5.9837,-7.15469,23.4117
-6.10505,-7.36042,23.3824
-6.23466,-7.57096,23.3755
-6.37217,-7.78526,23.3918
-6.51712,-8.00211,23.4323
-6.66898,-8.2201,23.4978
-6.82712,-8.43765,23.589
-6.99082,-8.65301,23.7065
-7.15926,-8.86421,23.8506
-7.33148,-9.06911,24.0217
-7.50641,-9.26537,24.2195
-7.68285,-9.45051,24.4437
-7.85948,-9.62192,24.6936
-8.03483,-9.77689,24.968
-8.20734,-9.9127,25.2654
-8.37532,-10.0266,25.5838
-8.537,-10.1161,25.9207
-8.69051,-10.1786,26.2731
-8.83397,-10.212,26.6377
-8.96548,-10.2145,27.0105
-9.08316,-10.1847,27.3873
-9.18521,-10.1219,27.7636
