t,distance
0,9.52788e-007
0.01,9.97035e-007
0.02,1.10639e-006
0.03,1.2587e-006
0.04,1.44109e-006
0.05,1.64803e-006
0.06,1.87832e-006
0.07,2.13316e-006
0.08,2.41506e-006
0.09,2.72735e-006
0.1,3.0739e-006
0.11,3.45897e-006
0.12,3.88714e-006
0.13,4.36329e-006
0.14,4.89245e-006
0.15,5.47974e-006
0.16,6.13021e-006
0.17,6.84852e-006
0.18,7.63865e-006
0.19,8.50332e-006
0.2,9.44336e-006
0.21,1.04568e-005
0.22,1.15378e-005
0.23,1.26753e-005
0.24,1.3852e-005
0.25,1.5043e-005
0.26,1.62154e-005
0.27,1.73285e-005
0.28,1.83364e-005
0.29,1.91912e-005
0.3,1.98496e-005
0.31,2.02787e-005
0.32,2.04621e-005
0.33,2.0402e-005
0.34,2.01169e-005
0.35,1.96352e-005
0.36,1.8987e-005
0.37,1.81992e-005
0.38,1.72946e-005
0.39,1.62934e-005
0.4,1.52174e-005
0.41,1.40911e-005
0.42,1.29411e-005
0.43,1.17941e-005
0.44,1.06748e-005
0.45,9.60358e-006
0.46,8.59592e-006
0.47,7.66214e-006
0.48,6.80792e-006
0.49,6.03512e-006
0.5,5.34269e-006
0.51,4.72752e-006
0.52,4.18523e-006
0.53,3.71076e-006
0.54,3.29879e-006
0.55,2.94408e-006
0.56,2.64161e-006
0.57,2.38665e-006
0.58,2.1747e-006
0.59,2.00142e-006
0.6,1.86249e-006
0.61,1.75356e-006
0.62,1.67021e-006
0.63,1.60803e-006
0.64,1.5628e-006
0.65,1.5306e-006
0.66,1.50794e-006
0.67,1.49187e-006
0.68,1.47999e-006
0.69,1.47037e-006
0.7,1.46158e-006
0.71,1.45256e-006
0.72,1.44257e-006
0.73,1.43115e-006
0.74,1.41802e-006
0.75,1.40308e-006
0.76,1.38634e-006
0.77,1.36791e-006
0.78,1.34795e-006
0.79,1.3267e-006
0.8,1.30443e-006
0.81,1.28145e-006
0.82,1.2581e-006
0.83,1.23476e-006
0.84,1.21183e-006
0.85,1.18976e-006
0.86,1.16903e-006
0.87,1.15015e-006
0.88,1.13366e-006
0.89,1.12014e-006
0.9,1.11017e-006
0.91,1.10431e-006
0.92,1.10312e-006
0.93,1.10707e-006
0.94,1.11655e-006
0.95,1.13182e-006
0.96,1.15302e-006
0.97,1.18012e-006
0.98,1.21292e-006
0.99,1.25108e-006
1,1.2941e-006
1.01,1.34139e-006
1.02,1.3922e-006
1.03,1.44571e-006
1.04,1.50105e-006
1.05,1.55724e-006
1.06,1.6133e-006
1.07,1.6682e-006
1.08,1.7209e-006
1.09,1.77036e-006
1.1,1.81559e-006
1.11,1.85565e-006
1.12,1.88968e-006
1.13,1.91697e-006
1.14,1.93694e-006
1.15,1.94924e-006
1.16,1.95374e-006
1.17,1.95057e-006
1.18,1.94019e-006
1.19,1.92331e-006
1.2,1.90097e-006
1.21,1.87447e-006
1.22,1.84531e-006
1.23,1.81514e-006
1.24,1.78563e-006
1.25,1.75835e-006
1.26,1.73464e-006
1.27,1.7155e-006
1.28,1.70149e-006
1.29,1.6927e-006
1.3,1.68879e-006
1.31,1.68901e-006
1.32,1.69236e-006
1.33,1.69771e-006
1.34,1.70386e-006
1.35,1.70973e-006
1.36,1.71436e-006
1.37,1.71696e-006
1.38,1.71695e-006
1.39,1.71396e-006
1.4,1.70778e-006
1.41,1.69836e-006
1.42,1.68577e-006
1.43,1.67018e-006
1.44,1.65184e-006
1.45,1.63104e-006
1.46,1.60809e-006
1.47,1.58334e-006
1.48,1.55711e-006
1.49,1.52976e-006
1.5,1.5016e-006
1.51,1.47298e-006
1.52,1.44422e-006
1.53,1.41565e-006
1.54,1.38764e-006
1.55,1.36055e-006
1.56,1.33477e-006
1.57,1.31075e-006
1.58,1.28896e-006
1.59,1.26991e-006
1.6,1.25415e-006
1.61,1.24226e-006
1.62,1.23485e-006
1.63,1.2325e-006
1.64,1.23577e-006
1.65,1.24514e-006
1.66,1.261e-006
1.67,1.28361e-006
1.68,1.31308e-006
1.69,1.34935e-006
1.7,1.39218e-006
1.71,1.44119e-006
1.72,1.49582e-006
1.73,1.55538e-006
1.74,1.61905e-006
1.75,1.68591e-006
1.76,1.75493e-006
1.77,1.825e-006
1.78,1.89494e-006
1.79,1.96354e-006
1.8,2.02952e-006
1.81,2.09163e-006
1.82,2.14861e-006
1.83,2.19927e-006
1.84,2.24252e-006
1.85,2.27743e-006
1.86,2.30325e-006
1.87,2.31951e-006
1.88,2.32603e-006
1.89,2.32298e-006
1.9,2.31091e-006
1.91,2.29079e-006
1.92,2.26395e-006
1.93,2.23205e-006
1.94,2.19702e-006
1.95,2.16093e-006
1.96,2.12583e-006
1.97,2.09358e-006
1.98,2.06569e-006
1.99,2.04321e-006
2,2.02657e-006
2.01,2.01564e-006
2.02,2.00976e-006
2.03,2.00787e-006
2.04,2.00867e-006
2.05,2.01074e-006
2.06,2.01277e-006
2.07,2.01354e-006
2.08,2.01211e-006
2.09,2.00775e-006
2.1,2.00001e-006
2.11,1.98865e-006
2.12,1.97364e-006
2.13,1.9551e-006
2.14,1.93328e-006
2.15,1.90852e-006
2.16,1.88119e-006
2.17,1.85171e-006
2.18,1.82048e-006
2.19,1.78792e-006
2.2,1.75441e-006
2.21,1.72031e-006
2.22,1.68596e-006
2.23,1.6517e-006
2.24,1.61786e-006
2.25,1.58474e-006
2.26,1.55268e-006
2.27,1.52203e-006
2.28,1.49318e-006
2.29,1.46656e-006
2.3,1.44262e-006
2.31,1.42191e-006
2.32,1.405e-006
2.33,1.3925e-006
2.34,1.38507e-006
2.35,1.38336e-006
2.36,1.38802e-006
2.37,1.39962e-006
2.38,1.41866e-006
2.39,1.44552e-006
2.4,1.48041e-006
2.41,1.52338e-006
2.42,1.57428e-006
2.43,1.6328e-006
2.44,1.69842e-006
2.45,1.77048e-006
2.46,1.84815e-006
2.47,1.93046e-006
2.48,2.01629e-006
2.49,2.10441e-006
2.5,2.19348e-006
2.51,2.28206e-006
2.52,2.36861e-006
2.53,2.45156e-006
2.54,2.52931e-006
2.55,2.60025e-006
2.56,2.66287e-006
2.57,2.7158e-006
2.58,2.75784e-006
2.59,2.7881e-006
2.6,2.80604e-006
2.61,2.81156e-006
2.62,2.80502e-006
2.63,2.78735e-006
2.64,2.75997e-006
2.65,2.72482e-006
2.66,2.6842e-006
2.67,2.6407e-006
2.68,2.59692e-006
2.69,2.55533e-006
2.7,2.51798e-006
2.71,2.48633e-006
2.72,2.4611e-006
2.73,2.44228e-006
2.74,2.42913e-006
2.75,2.42043e-006
2.76,2.41461e-006
2.77,2.41e-006
2.78,2.405e-006
2.79,2.39822e-006
2.8,2.38858e-006
2.81,2.37531e-006
2.82,2.35799e-006
2.83,2.33646e-006
2.84,2.31082e-006
2.85,2.28136e-006
2.86,2.24849e-006
2.87,2.2127e-006
2.88,2.17455e-006
2.89,2.13455e-006
2.9,2.09325e-006
2.91,2.05112e-006
2.92,2.0086e-006
2.93,1.96608e-006
2.94,1.92393e-006
2.95,1.88243e-006
2.96,1.84189e-006
2.97,1.80258e-006
2.98,1.76476e-006
2.99,1.72872e-006
3,1.69477e-006
3.01,1.66328e-006
3.02,1.63465e-006
3.03,1.60936e-006
3.04,1.58794e-006
3.05,1.57099e-006
3.06,1.5592e-006
3.07,1.55326e-006
3.08,1.55393e-006
3.09,1.56193e-006
3.1,1.57796e-006
3.11,1.60265e-006
3.12,1.63648e-006
3.13,1.6798e-006
3.14,1.73278e-006
3.15,1.7954e-006
3.16,1.86742e-006
3.17,1.94843e-006
3.18,2.0378e-006
3.19,2.13472e-006
3.2,2.23821e-006
3.21,2.34709e-006
3.22,2.46002e-006
3.23,2.57548e-006
3.24,2.6918e-006
3.25,2.80713e-006
3.26,2.91951e-006
3.27,3.02688e-006
3.28,3.12711e-006
3.29,3.2181e-006
3.3,3.29783e-006
3.31,3.36445e-006
3.32,3.41644e-006
3.33,3.45266e-006
3.34,3.47252e-006
3.35,3.47606e-006
3.36,3.46403e-006
3.37,3.43792e-006
3.38,3.39995e-006
3.39,3.35294e-006
3.4,3.30015e-006
3.41,3.245e-006
3.42,3.19079e-006
3.43,3.14032e-006
3.44,3.09566e-006
3.45,3.0579e-006
3.46,3.02717e-006
3.47,3.00264e-006
3.48,2.98282e-006
3.49,2.96579e-006
3.5,2.94952e-006
3.51,2.9321e-006
3.52,2.91195e-006
3.53,2.8879e-006
3.54,2.8592e-006
3.55,2.82555e-006
3.56,2.78701e-006
3.57,2.74392e-006
3.58,2.69684e-006
3.59,2.64646e-006
3.6,2.59353e-006
3.61,2.5388e-006
3.62,2.483e-006
3.63,2.42678e-006
3.64,2.37073e-006
3.65,2.31534e-006
3.66,2.261e-006
3.67,2.20805e-006
3.68,2.15673e-006
3.69,2.10727e-006
3.7,2.05983e-006
3.71,2.01458e-006
3.72,1.9717e-006
3.73,1.93138e-006
3.74,1.89385e-006
3.75,1.85942e-006
3.76,1.82843e-006
3.77,1.80134e-006
3.78,1.77867e-006
3.79,1.76104e-006
3.8,1.74917e-006
3.81,1.74382e-006
3.82,1.74584e-006
3.83,1.75609e-006
3.84,1.77542e-006
3.85,1.80464e-006
3.86,1.84447e-006
3.87,1.89548e-006
3.88,1.95811e-006
3.89,2.03258e-006
3.9,2.11893e-006
3.91,2.21697e-006
3.92,2.32631e-006
3.93,2.44634e-006
3.94,2.57622e-006
3.95,2.71491e-006
3.96,2.8611e-006
3.97,3.01328e-006
3.98,3.16964e-006
3.99,3.32815e-006
4,3.48648e-006
4.01,3.6421e-006
4.02,3.79222e-006
4.03,3.93392e-006
4.04,4.06422e-006
4.05,4.18015e-006
4.06,4.27895e-006
4.07,4.35819e-006
4.08,4.416e-006
4.09,4.45124e-006
4.1,4.46368e-006
4.11,4.45415e-006
4.12,4.42456e-006
4.13,4.3779e-006
4.14,4.31806e-006
4.15,4.24951e-006
4.16,4.17693e-006
4.17,4.10469e-006
4.18,4.03637e-006
4.19,3.97439e-006
4.2,3.91979e-006
4.21,3.87226e-006
4.22,3.83034e-006
4.23,3.79186e-006
4.24,3.75431e-006
4.25,3.71526e-006
4.26,3.67269e-006
4.27,3.6251e-006
4.28,3.57162e-006
4.29,3.51201e-006
4.3,3.44651e-006
4.31,3.37577e-006
4.32,3.30071e-006
4.33,3.22244e-006
4.34,3.14208e-006
4.35,3.06077e-006
4.36,2.97951e-006
4.37,2.89923e-006
4.38,2.82066e-006
4.39,2.7444e-006
4.4,2.67088e-006
