i,t,distance
0,0,9.52797e-008
1,0.01,9.97096e-008
2,0.02,1.10656e-007
3,0.03,1.25903e-007
4,0.04,1.44164e-007
5,0.05,1.64885e-007
6,0.06,1.87947e-007
7,0.07,2.13471e-007
8,0.08,2.4171e-007
9,0.09,2.72998e-007
10,0.1,3.07721e-007
11,0.11,3.46307e-007
12,0.12,3.89216e-007
13,0.13,4.36932e-007
14,0.14,4.89959e-007
15,0.15,5.48804e-007
16,0.16,6.13964e-007
17,0.17,6.85895e-007
18,0.18,7.64975e-007
19,0.19,8.51451e-007
20,0.2,9.45366e-007
21,0.21,1.04647e-006
22,0.22,1.1541e-006
23,0.23,1.26706e-006
24,0.24,1.38351e-006
25,0.25,1.50081e-006
26,0.26,1.61553e-006
27,0.27,1.7235e-006
28,0.28,1.82004e-006
29,0.29,1.90044e-006
30,0.3,1.96059e-006
31,0.31,1.99767e-006
32,0.32,2.01074e-006
33,0.33,2.00086e-006
34,0.34,1.97072e-006
35,0.35,1.92374e-006
36,0.36,1.86316e-006
37,0.37,1.79144e-006
38,0.38,1.71025e-006
39,0.39,1.62089e-006
40,0.4,1.52474e-006
41,0.41,1.42356e-006
42,0.42,1.31946e-006
43,0.43,1.21466e-006
44,0.44,1.11131e-006
45,0.45,1.01125e-006
46,0.46,9.15923e-007
47,0.47,8.26337e-007
48,0.48,7.43118e-007
49,0.49,6.66562e-007
50,0.5,5.96705e-007
51,0.51,5.33395e-007
52,0.52,4.7635e-007
53,0.53,4.25201e-007
54,0.54,3.79534e-007
55,0.55,3.38914e-007
56,0.56,3.02905e-007
57,0.57,2.71081e-007
58,0.58,2.43043e-007
59,0.59,2.18418e-007
60,0.6,1.9687e-007
61,0.61,1.781e-007
62,0.62,1.61851e-007
63,0.63,1.47905e-007
64,0.64,1.36083e-007
65,0.65,1.26241e-007
66,0.66,1.18259e-007
67,0.67,1.12032e-007
68,0.68,1.07459e-007
69,0.69,1.04424e-007
70,0.7,1.02793e-007
71,0.71,1.02407e-007
72,0.72,1.03086e-007
73,0.73,1.04638e-007
74,0.74,1.06866e-007
75,0.75,1.09577e-007
76,0.76,1.1259e-007
77,0.77,1.15737e-007
78,0.78,1.18865e-007
79,0.79,1.21839e-007
80,0.8,1.24542e-007
81,0.81,1.26872e-007
82,0.82,1.28746e-007
83,0.83,1.30102e-007
84,0.84,1.30897e-007
85,0.85,1.31111e-007
86,0.86,1.30748e-007
87,0.87,1.29834e-007
88,0.88,1.28425e-007
89,0.89,1.26598e-007
90,0.9,1.24456e-007
91,0.91,1.2212e-007
92,0.92,1.19726e-007
93,0.93,1.17418e-007
94,0.94,1.15336e-007
95,0.95,1.13606e-007
96,0.96,1.12326e-007
97,0.97,1.1156e-007
98,0.98,1.11326e-007
99,0.99,1.11603e-007
100,1,1.12329e-007
101,1.01,1.13412e-007
102,1.02,1.14744e-007
103,1.03,1.16209e-007
104,1.04,1.17694e-007
105,1.05,1.19098e-007
106,1.06,1.20332e-007
107,1.07,1.21326e-007
108,1.08,1.22027e-007
109,1.09,1.22398e-007
110,1.1,1.22418e-007
111,1.11,1.22078e-007
112,1.12,1.21383e-007
113,1.13,1.20344e-007
114,1.14,1.18986e-007
115,1.15,1.17336e-007
116,1.16,1.15429e-007
117,1.17,1.13308e-007
118,1.18,1.11018e-007
119,1.19,1.08612e-007
120,1.2,1.06147e-007
121,1.21,1.03686e-007
122,1.22,1.013e-007
123,1.23,9.90616e-008
124,1.24,9.70504e-008
125,1.25,9.53472e-008
126,1.26,9.40324e-008
127,1.27,9.31808e-008
128,1.28,9.28571e-008
129,1.29,9.31096e-008
130,1.3,9.39655e-008
131,1.31,9.54273e-008
132,1.32,9.74719e-008
133,1.33,1.00051e-007
134,1.34,1.03096e-007
135,1.35,1.06521e-007
136,1.36,1.10225e-007
137,1.37,1.14102e-007
138,1.38,1.18042e-007
139,1.39,1.21933e-007
140,1.4,1.25667e-007
141,1.41,1.29139e-007
142,1.42,1.32252e-007
143,1.43,1.34922e-007
144,1.44,1.37073e-007
145,1.45,1.38648e-007
146,1.46,1.39607e-007
147,1.47,1.39931e-007
148,1.48,1.39623e-007
149,1.49,1.38714e-007
150,1.5,1.3726e-007
151,1.51,1.35342e-007
152,1.52,1.33069e-007
153,1.53,1.3057e-007
154,1.54,1.27991e-007
155,1.55,1.25485e-007
156,1.56,1.23204e-007
157,1.57,1.21285e-007
158,1.58,1.19835e-007
159,1.59,1.18926e-007
160,1.6,1.18579e-007
161,1.61,1.18774e-007
162,1.62,1.19446e-007
163,1.63,1.20499e-007
164,1.64,1.21817e-007
165,1.65,1.23276e-007
166,1.66,1.24759e-007
167,1.67,1.26155e-007
168,1.68,1.27374e-007
169,1.69,1.2834e-007
170,1.7,1.28998e-007
171,1.71,1.2931e-007
172,1.72,1.29256e-007
173,1.73,1.28828e-007
174,1.74,1.28031e-007
175,1.75,1.2688e-007
176,1.76,1.25399e-007
177,1.77,1.23619e-007
178,1.78,1.21577e-007
179,1.79,1.19315e-007
180,1.8,1.16882e-007
181,1.81,1.14331e-007
182,1.82,1.1172e-007
183,1.83,1.09115e-007
184,1.84,1.06585e-007
185,1.85,1.04206e-007
186,1.86,1.0206e-007
187,1.87,1.0023e-007
188,1.88,9.87982e-008
189,1.89,9.78454e-008
190,1.9,9.74407e-008
191,1.91,9.76383e-008
192,1.92,9.8471e-008
193,1.93,9.99472e-008
194,1.94,1.02048e-007
195,1.95,1.04728e-007
196,1.96,1.0792e-007
197,1.97,1.11537e-007
198,1.98,1.15476e-007
199,1.99,1.19626e-007
200,2,1.23872e-007
201,2.01,1.28095e-007
202,2.02,1.32177e-007
203,2.03,1.36007e-007
204,2.04,1.39479e-007
205,2.05,1.42496e-007
206,2.06,1.44976e-007
207,2.07,1.4685e-007
208,2.08,1.4807e-007
209,2.09,1.4861e-007
210,2.1,1.48467e-007
211,2.11,1.47667e-007
212,2.12,1.46263e-007
213,2.13,1.44338e-007
214,2.14,1.42003e-007
215,2.15,1.39395e-007
216,2.16,1.36666e-007
217,2.17,1.33982e-007
218,2.18,1.31507e-007
219,2.19,1.2939e-007
220,2.2,1.27753e-007
221,2.21,1.26675e-007
