i,t,distance
0,0,9.52788e-008
1,0.01,9.97035e-008
2,0.02,1.10639e-007
3,0.03,1.2587e-007
4,0.04,1.44109e-007
5,0.05,1.64803e-007
6,0.06,1.87832e-007
7,0.07,2.13316e-007
8,0.08,2.41506e-007
9,0.09,2.72735e-007
10,0.1,3.0739e-007
11,0.11,3.45897e-007
12,0.12,3.88714e-007
13,0.13,4.36329e-007
14,0.14,4.89245e-007
15,0.15,5.47974e-007
16,0.16,6.13021e-007
17,0.17,6.84852e-007
18,0.18,7.63865e-007
19,0.19,8.50332e-007
20,0.2,9.44336e-007
21,0.21,1.04568e-006
22,0.22,1.15378e-006
23,0.23,1.26753e-006
24,0.24,1.3852e-006
25,0.25,1.5043e-006
26,0.26,1.62154e-006
27,0.27,1.73285e-006
28,0.28,1.83364e-006
29,0.29,1.91912e-006
30,0.3,1.98496e-006
31,0.31,2.02787e-006
32,0.32,2.04621e-006
33,0.33,2.0402e-006
34,0.34,2.01169e-006
35,0.35,1.96352e-006
36,0.36,1.8987e-006
37,0.37,1.81993e-006
38,0.38,1.72946e-006
39,0.39,1.62934e-006
40,0.4,1.52174e-006
41,0.41,1.40911e-006
42,0.42,1.29411e-006
43,0.43,1.17941e-006
44,0.44,1.06748e-006
45,0.45,9.60359e-007
46,0.46,8.59593e-007
47,0.47,7.66215e-007
48,0.48,6.80793e-007
49,0.49,6.03513e-007
50,0.5,5.34269e-007
51,0.51,4.72752e-007
52,0.52,4.18523e-007
53,0.53,3.71076e-007
54,0.54,3.29879e-007
55,0.55,2.94408e-007
56,0.56,2.64161e-007
57,0.57,2.38665e-007
58,0.58,2.1747e-007
59,0.59,2.00142e-007
60,0.6,1.86249e-007
61,0.61,1.75356e-007
62,0.62,1.67021e-007
63,0.63,1.60803e-007
64,0.64,1.5628e-007
65,0.65,1.5306e-007
66,0.66,1.50794e-007
67,0.67,1.49187e-007
68,0.68,1.47999e-007
69,0.69,1.47037e-007
70,0.7,1.46158e-007
71,0.71,1.45256e-007
72,0.72,1.44257e-007
73,0.73,1.43115e-007
74,0.74,1.41802e-007
75,0.75,1.40308e-007
76,0.76,1.38634e-007
77,0.77,1.36791e-007
78,0.78,1.34795e-007
79,0.79,1.3267e-007
80,0.8,1.30443e-007
81,0.81,1.28145e-007
82,0.82,1.2581e-007
83,0.83,1.23476e-007
84,0.84,1.21183e-007
85,0.85,1.18976e-007
86,0.86,1.16903e-007
87,0.87,1.15015e-007
88,0.88,1.13366e-007
89,0.89,1.12014e-007
90,0.9,1.11017e-007
91,0.91,1.10431e-007
92,0.92,1.10312e-007
93,0.93,1.10707e-007
94,0.94,1.11655e-007
95,0.95,1.13182e-007
96,0.96,1.15302e-007
97,0.97,1.18012e-007
98,0.98,1.21292e-007
99,0.99,1.25108e-007
100,1,1.2941e-007
101,1.01,1.34139e-007
102,1.02,1.3922e-007
103,1.03,1.44571e-007
104,1.04,1.50105e-007
105,1.05,1.55724e-007
106,1.06,1.6133e-007
107,1.07,1.6682e-007
108,1.08,1.7209e-007
109,1.09,1.77036e-007
110,1.1,1.81559e-007
111,1.11,1.85565e-007
112,1.12,1.88969e-007
113,1.13,1.91697e-007
114,1.14,1.93694e-007
115,1.15,1.94924e-007
116,1.16,1.95374e-007
117,1.17,1.95058e-007
118,1.18,1.94019e-007
119,1.19,1.92331e-007
120,1.2,1.90097e-007
121,1.21,1.87447e-007
122,1.22,1.84531e-007
123,1.23,1.81514e-007
124,1.24,1.78563e-007
125,1.25,1.75835e-007
126,1.26,1.73464e-007
127,1.27,1.7155e-007
128,1.28,1.70149e-007
129,1.29,1.6927e-007
130,1.3,1.68879e-007
131,1.31,1.68901e-007
132,1.32,1.69236e-007
133,1.33,1.69771e-007
134,1.34,1.70386e-007
135,1.35,1.70973e-007
136,1.36,1.71436e-007
137,1.37,1.71696e-007
138,1.38,1.71695e-007
139,1.39,1.71396e-007
140,1.4,1.70778e-007
141,1.41,1.69836e-007
142,1.42,1.68577e-007
143,1.43,1.67018e-007
144,1.44,1.65184e-007
145,1.45,1.63104e-007
146,1.46,1.60809e-007
147,1.47,1.58334e-007
148,1.48,1.55711e-007
149,1.49,1.52976e-007
150,1.5,1.5016e-007
151,1.51,1.47298e-007
152,1.52,1.44422e-007
153,1.53,1.41565e-007
154,1.54,1.38764e-007
155,1.55,1.36055e-007
156,1.56,1.33477e-007
157,1.57,1.31075e-007
158,1.58,1.28896e-007
159,1.59,1.26991e-007
160,1.6,1.25415e-007
161,1.61,1.24226e-007
162,1.62,1.23485e-007
163,1.63,1.2325e-007
164,1.64,1.23577e-007
165,1.65,1.24514e-007
166,1.66,1.261e-007
167,1.67,1.28361e-007
168,1.68,1.31308e-007
169,1.69,1.34935e-007
170,1.7,1.39218e-007
171,1.71,1.44119e-007
172,1.72,1.49582e-007
173,1.73,1.55538e-007
174,1.74,1.61905e-007
175,1.75,1.68591e-007
176,1.76,1.75493e-007
177,1.77,1.825e-007
178,1.78,1.89494e-007
179,1.79,1.96354e-007
180,1.8,2.02953e-007
181,1.81,2.09163e-007
182,1.82,2.14861e-007
183,1.83,2.19927e-007
184,1.84,2.24252e-007
185,1.85,2.27743e-007
186,1.86,2.30325e-007
187,1.87,2.31951e-007
188,1.88,2.32603e-007
189,1.89,2.32298e-007
190,1.9,2.31091e-007
191,1.91,2.29079e-007
192,1.92,2.26395e-007
193,1.93,2.23205e-007
194,1.94,2.19702e-007
195,1.95,2.16093e-007
196,1.96,2.12583e-007
197,1.97,2.09358e-007
198,1.98,2.06569e-007
199,1.99,2.04321e-007
200,2,2.02657e-007
201,2.01,2.01564e-007
202,2.02,2.00976e-007
203,2.03,2.00787e-007
204,2.04,2.00867e-007
205,2.05,2.01074e-007
206,2.06,2.01277e-007
207,2.07,2.01354e-007
208,2.08,2.01211e-007
209,2.09,2.00775e-007
210,2.1,2.00001e-007
211,2.11,1.98865e-007
212,2.12,1.97364e-007
213,2.13,1.9551e-007
214,2.14,1.93328e-007
215,2.15,1.90852e-007
216,2.16,1.88119e-007
217,2.17,1.85171e-007
218,2.18,1.82049e-007
219,2.19,1.78792e-007
220,2.2,1.75441e-007
221,2.21,1.72031e-007
222,2.22,1.68596e-007
223,2.23,1.65171e-007
224,2.24,1.61786e-007
225,2.25,1.58474e-007
226,2.26,1.55268e-007
227,2.27,1.52203e-007
228,2.28,1.49318e-007
229,2.29,1.46656e-007
230,2.3,1.44263e-007
231,2.31,1.42192e-007
232,2.32,1.405e-007
233,2.33,1.3925e-007
234,2.34,1.38507e-007
235,2.35,1.38336e-007
236,2.36,1.38802e-007
237,2.37,1.39962e-007
238,2.38,1.41866e-007
239,2.39,1.44552e-007
240,2.4,1.48041e-007
241,2.41,1.52338e-007
242,2.42,1.57428e-007
243,2.43,1.6328e-007
244,2.44,1.69842e-007
245,2.45,1.77049e-007
246,2.46,1.84815e-007
247,2.47,1.93046e-007
248,2.48,2.01629e-007
249,2.49,2.10441e-007
250,2.5,2.19348e-007
251,2.51,2.28206e-007
252,2.52,2.36861e-007
253,2.53,2.45156e-007
254,2.54,2.52931e-007
255,2.55,2.60025e-007
256,2.56,2.66288e-007
257,2.57,2.7158e-007
258,2.58,2.75784e-007
259,2.59,2.7881e-007
260,2.6,2.80604e-007
261,2.61,2.81156e-007
262,2.62,2.80502e-007
263,2.63,2.78735e-007
264,2.64,2.75998e-007
265,2.65,2.72482e-007
266,2.66,2.68421e-007
267,2.67,2.6407e-007
268,2.68,2.59692e-007
269,2.69,2.55533e-007
270,2.7,2.51798e-007
271,2.71,2.48633e-007
272,2.72,2.4611e-007
273,2.73,2.44228e-007
274,2.74,2.42913e-007
275,2.75,2.42043e-007
276,2.76,2.41462e-007
277,2.77,2.41e-007
278,2.78,2.405e-007
279,2.79,2.39822e-007
280,2.8,2.38858e-007
281,2.81,2.37531e-007
282,2.82,2.35799e-007
283,2.83,2.33646e-007
284,2.84,2.31082e-007
285,2.85,2.28136e-007
286,2.86,2.24849e-007
287,2.87,2.2127e-007
288,2.88,2.17455e-007
289,2.89,2.13455e-007
290,2.9,2.09325e-007
291,2.91,2.05112e-007
292,2.92,2.0086e-007
293,2.93,1.96608e-007
294,2.94,1.92393e-007
295,2.95,1.88243e-007
296,2.96,1.84189e-007
297,2.97,1.80258e-007
298,2.98,1.76476e-007
299,2.99,1.72872e-007
300,3,1.69477e-007
301,3.01,1.66328e-007
302,3.02,1.63465e-007
303,3.03,1.60936e-007
304,3.04,1.58794e-007
305,3.05,1.571e-007
306,3.06,1.5592e-007
307,3.07,1.55326e-007
308,3.08,1.55393e-007
309,3.09,1.56193e-007
310,3.1,1.57796e-007
311,3.11,1.60265e-007
312,3.12,1.63648e-007
313,3.13,1.6798e-007
314,3.14,1.73278e-007
315,3.15,1.7954e-007
316,3.16,1.86742e-007
317,3.17,1.94843e-007
318,3.18,2.0378e-007
319,3.19,2.13472e-007
320,3.2,2.23821e-007
321,3.21,2.34709e-007
322,3.22,2.46002e-007
323,3.23,2.57548e-007
324,3.24,2.6918e-007
325,3.25,2.80713e-007
326,3.26,2.91951e-007
327,3.27,3.02688e-007
328,3.28,3.12711e-007
329,3.29,3.2181e-007
330,3.3,3.29783e-007
331,3.31,3.36446e-007
332,3.32,3.41644e-007
333,3.33,3.45266e-007
334,3.34,3.47252e-007
335,3.35,3.47606e-007
336,3.36,3.46403e-007
337,3.37,3.43792e-007
338,3.38,3.39995e-007
339,3.39,3.35294e-007
340,3.4,3.30015e-007
341,3.41,3.24501e-007
342,3.42,3.19079e-007
343,3.43,3.14032e-007
344,3.44,3.09566e-007
345,3.45,3.05791e-007
346,3.46,3.02717e-007
347,3.47,3.00264e-007
348,3.48,2.98282e-007
349,3.49,2.96579e-007
350,3.5,2.94952e-007
351,3.51,2.9321e-007
352,3.52,2.91195e-007
353,3.53,2.8879e-007
354,3.54,2.8592e-007
355,3.55,2.82555e-007
356,3.56,2.78701e-007
357,3.57,2.74392e-007
358,3.58,2.69684e-007
359,3.59,2.64646e-007
360,3.6,2.59353e-007
361,3.61,2.5388e-007
362,3.62,2.483e-007
363,3.63,2.42678e-007
364,3.64,2.37074e-007
365,3.65,2.31534e-007
366,3.66,2.261e-007
367,3.67,2.20805e-007
368,3.68,2.15673e-007
369,3.69,2.10727e-007
370,3.7,2.05983e-007
371,3.71,2.01458e-007
372,3.72,1.9717e-007
373,3.73,1.93138e-007
374,3.74,1.89386e-007
375,3.75,1.85942e-007
376,3.76,1.82843e-007
377,3.77,1.80134e-007
378,3.78,1.77867e-007
379,3.79,1.76104e-007
380,3.8,1.74917e-007
381,3.81,1.74382e-007
382,3.82,1.74584e-007
383,3.83,1.75609e-007
384,3.84,1.77542e-007
385,3.85,1.80464e-007
386,3.86,1.84447e-007
387,3.87,1.89548e-007
388,3.88,1.95811e-007
389,3.89,2.03258e-007
390,3.9,2.11893e-007
391,3.91,2.21697e-007
392,3.92,2.32631e-007
393,3.93,2.44634e-007
394,3.94,2.57622e-007
395,3.95,2.71491e-007
396,3.96,2.8611e-007
397,3.97,3.01328e-007
398,3.98,3.16964e-007
399,3.99,3.32815e-007
400,4,3.48649e-007
401,4.01,3.6421e-007
402,4.02,3.79222e-007
403,4.03,3.93392e-007
404,4.04,4.06422e-007
405,4.05,4.18015e-007
406,4.06,4.27895e-007
407,4.07,4.35819e-007
408,4.08,4.416e-007
409,4.09,4.45124e-007
410,4.1,4.46368e-007
411,4.11,4.45415e-007
412,4.12,4.42456e-007
413,4.13,4.3779e-007
414,4.14,4.31806e-007
415,4.15,4.24951e-007
416,4.16,4.17693e-007
417,4.17,4.10469e-007
